"Rob Waziak's Rank","Player","ECR","Diff."
"13","Derrick Henry BAL - RB","40","+27"
"17","Isiah Pacheco KC - RB","33","+16"
"31","Stefon Diggs HOU - WR","43","+12"
"44","Tank Dell HOU - WR","60","+16"
"60","Jayden Daniels WAS - QB","78","+18"
"63","DeAndre Hopkins TEN - WR","90","+27"
"74","Jonathon Brooks CAR - RB","116","+42"
"76","Devin Singletary NYG - RB","96","+20"
"80","Hollywood Brown KC - WR","100","+20"
"81","Tyler Lockett SEA - WR","111","+30"
"106","Curtis Samuel BUF - WR","126","+20"
"111","Cole Kmet CHI - TE","141","+30"
"114","Brandin Cooks DAL - WR","134","+20"
"125","Adam Thielen CAR - WR","153","+28"
"143","Tyler Conklin NYJ - TE","161","+18"
"146","Derek Carr NO - QB","159","+13"
"150","Cleveland Browns CLE - DST","173","+23"
"153","Michael Wilson ARI - WR","168","+15"
"154","Noah Fant SEA - TE","183","+29"
"156","Ray Davis BUF - RB","176","+20"
"158","Russell Wilson PIT - QB","193","+35"
"159","Kimani Vidal LAC - RB","249","+90"
"160","Buffalo Bills BUF - DST","186","+26"
"167","Jermaine Burton CIN - WR","195","+28"
"173","Demarcus Robinson LAR - WR","197","+24"
"176","Samaje Perine DEN - RB","263","+87"
"178","Bo Nix DEN - QB","214","+36"
"185","Houston Texans HOU - DST","199","+14"
"187","Chicago Bears CHI - DST","217","+30"
"188","Bucky Irving TB - RB","200","+12"
"189","Tampa Bay Buccaneers TB - DST","360","+171"
"190","Indianapolis Colts IND - DST","237","+47"
"198","Tyler Boyd TEN - WR","216","+18"
"200","Alexander Mattison LV - RB","220","+20"
"201","Jalin Hyatt NYG - WR","222","+21"
"206","Cameron Dicker LAC - K","235","+29"
"207","Odell Beckham Jr. MIA - WR","243","+36"
"208","Tucker Kraft GB - TE","225","+17"
"212","Matt Gay IND - K","230","+18"
"216","Jason Myers SEA - K","253","+37"
"219","Cincinnati Bengals CIN - DST","269","+50"
"220","Kendrick Bourne NE - WR","240","+20"
"223","A.T. Perry NO - WR","262","+39"
"224","Dustin Hopkins CLE - K","245","+21"
"225","Jelani Woods IND - TE","264","+39"
"226","Malachi Corley NYJ - WR","244","+18"
"228","Jonnu Smith MIA - TE","254","+26"
"234","Detroit Lions DET - DST","256","+22"
"235","Zach Ertz WAS - TE","266","+31"
"238","Kalif Raymond DET - WR","325","+87"
"240","Luke McCaffrey WAS - WR","276","+36"
"242","Trey Sermon IND - RB","277","+35"
"244","Jalen Tolbert DAL - WR","282","+38"
"246","Greg Dortch ARI - WR","281","+35"
"248","Seattle Seahawks SEA - DST","385","+137"
"251","Chase McLaughlin TB - K","425","+174"
"252","Greg Zuerlein NYJ - K","297","+45"
"253","Tyler Higbee LAR - TE","288","+35"
"255","Daniel Bellinger NYG - TE","312","+57"
"261","Brandon Powell MIN - WR","371","+110"
"263","Trey Palmer TB - WR","278","+15"
"268","Tre Tucker LV - WR","336","+68"
"269","Nelson Agholor BAL - WR","331","+62"
"270","Eric Gray NYG - RB","284","+14"
"273","Hayden Hurst LAC - TE","316","+43"
"274","Deuce Vaughn DAL - RB","289","+15"
"275","Jacoby Brissett NE - QB","293","+18"
"276","Tutu Atwell LAR - WR","313","+37"
"277","Chris Rodriguez Jr. WAS - RB","303","+26"
"278","Las Vegas Raiders LV - DST","317","+39"
"279","Denver Broncos DEN - DST","298","+19"
"287","Ty Johnson BUF - RB","341","+54"
"289","Tanner Hudson CIN - TE","369","+80"
"290","Parris Campbell PHI - WR","367","+77"
"292","Calvin Austin III PIT - WR","337","+45"
"293","Isaac Guerendo SF - RB","309","+16"
"294","Noah Gray KC - TE","352","+58"
"297","KaVontae Turpin DAL - WR","414","+117"
"301","Jauan Jennings SF - WR","334","+33"
"302","Xavier Gipson NYJ - WR","354","+52"
"303","Kyle Juszczyk SF - RB","403","+100"
"308","Donald Parham Jr. LAC - TE","338","+30"
"309","Ameer Abdullah LV - RB","397","+88"
"311","Van Jefferson PIT - WR","333","+22"
"312","Nyheim Hines CLE - RB","377","+65"
"315","JuJu Smith-Schuster FA - WR","356","+41"
"316","Blake Watson DEN - RB","390","+74"
"322","Bo Melton GB - WR","335","+13"
"324","Will Dissly LAC - TE","345","+21"
"327","Justin Watson KC - WR","374","+47"
"328","Joshua Kelley NYG - RB","342","+14"
"329","Frank Gore Jr. BUF - RB","458","+129"
"330","Jake Bobo SEA - WR","424","+94"
"331","Jase McClellan ATL - RB","406","+75"
"333","Parker Washington JAC - WR","384","+51"
"335","Robert Tonyan MIN - TE","451","+116"
"337","Kevin Harris NE - RB","408","+71"
"338","Jake Browning CIN - QB","378","+40"
"344","Charlie Woerner ATL - TE","548","+204"
"348","Foster Moreau NO - TE","427","+79"
"349","Trenton Irwin CIN - WR","400","+51"
"351","Josh Oliver MIN - TE","395","+44"
"354","Tommy Tremble CAR - TE","381","+27"
"355","New York Giants NYG - DST","375","+20"
"356","Lucas Krull DEN - TE","445","+89"
"357","Isaiah Davis NYJ - RB","382","+25"
"360","Durham Smythe MIA - TE","468","+108"
"362","Jeremy Ruckert NYJ - TE","387","+25"
"363","Trayveon Williams CIN - RB","415","+52"
"366","Adam Trautman DEN - TE","417","+51"
"367","Trey Lance DAL - QB","564","+197"
"369","JaMycal Hasty NE - RB","525","+156"
"370","Nick Westbrook-Ikhine TEN - WR","431","+61"
"371","Will Mallory IND - TE","478","+107"
"372","Mack Hollins BUF - WR","389","+17"
"374","Mo Alie-Cox IND - TE","473","+99"
"375","Deonte Harty BAL - WR","514","+139"
"376","Drew Sample CIN - TE","560","+184"
"377","Bub Means NO - WR","491","+114"
"380","Kene Nwangwu MIN - RB","465","+85"
"383","Trent Sherfield Sr. MIN - WR","501","+118"
"386","Hassan Haskins TEN - RB","561","+175"
"388","Tyler Goodson IND - RB","456","+68"
"389","AJ Barner SEA - TE","477","+88"
"391","Elijah Higgins ARI - TE","481","+90"
"394","Josh Whyle TEN - TE","416","+22"
"396","Chris Moore ARI - WR","459","+63"
"397","Zach Wilson DEN - QB","438","+41"
""
"Expert Consensus's Rank","Player","Rob Waziak's RankExpert","Diff."
"20","Travis Etienne Jr. JAC - RB","40","+20"
"21","Michael Pittman Jr. IND - WR","36","+15"
"23","Jaylen Waddle MIA - WR","39","+16"
"26","Nico Collins HOU - WR","43","+17"
"28","Cooper Kupp LAR - WR","41","+13"
"29","Kyren Williams LAR - RB","42","+13"
"50","Zay Flowers BAL - WR","68","+18"
"58","Kyler Murray ARI - QB","70","+12"
"61","Rashee Rice KC - WR","91","+30"
"62","Chris Godwin TB - WR","75","+13"
"74","D'Andre Swift CHI - RB","113","+39"
"80","Kyle Pitts ATL - TE","96","+16"
"84","Jaxon Smith-Njigba SEA - WR","108","+24"
"89","Caleb Williams CHI - QB","107","+18"
"91","Brian Robinson Jr. WAS - RB","116","+25"
"97","Xavier Worthy KC - WR","139","+42"
"103","Christian Watson GB - WR","120","+17"
"110","Chase Brown CIN - RB","129","+19"
"122","Jameson Williams DET - WR","148","+26"
"129","Romeo Doubs GB - WR","141","+12"
"140","Luke Musgrave GB - TE","157","+17"
"146","Jerry Jeudy CLE - WR","175","+29"
"150","Jahan Dotson WAS - WR","177","+27"
"152","J.K. Dobbins LAC - RB","174","+22"
